model,time_sec,accuracy_mean,f1_mean,auc_mean
LogReg_L2,35.28,0.8056,0.8889,0.6387
SGD_huber,33.36,0.6111,0.7308,0.6065
RidgeClassifier,34.29,0.8056,0.8889,0.5871
LinearSVC,33.99,0.6111,0.7308,0.5871
LogReg_L1,36.76,0.6111,0.7308,0.5677
KNN_5,37.7,0.8333,0.9091,0.5484
RandomForest,56.07,0.8611,0.9254,0.5355
KNN_3,33.08,0.8333,0.9091,0.4839
Bagging_LR,47.87,0.8056,0.8923,0.4645
ExtraTrees,55.91,0.8611,0.9254,0.4516
LDA,39.81,0.8333,0.9062,0.4452
GaussianNB,198.94,0.7222,0.8387,0.3548
GradientBoosting,47.9,0.8056,0.8923,0.1806
