model,time_sec,accuracy_mean,f1_mean,auc_mean
LinearSVC,40.8,0.3889,0.5217,0.3795
LogReg_L2,43.14,0.6389,0.7797,0.3705
GaussianNB,108.81,0.5278,0.6792,0.3616
ExtraTrees,57.46,0.7222,0.8387,0.3125
KNN_3,42.19,0.5833,0.7368,0.3125
RandomForest,50.39,0.7778,0.875,0.3036
LogReg_L1,45.82,0.4444,0.6,0.2946
RidgeClassifier,43.24,0.5556,0.7037,0.2812
SGD_huber,40.14,0.3611,0.5106,0.2768
LDA,40.71,0.6667,0.7931,0.2455
GradientBoosting,53.03,0.75,0.8525,0.2232
Bagging_LR,55.81,0.75,0.8571,0.2143
KNN_5,41.53,0.75,0.8571,0.2031
